date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-03-04,ger,1,0,welt,1,legnews
2011-03-05,ger,0,0,welt,4,legnews
2011-03-05,ger,1,0,welt,1,legnews
2011-03-07,ger,0,0,welt,3,legnews
2011-03-07,ger,1,0,welt,1,legnews
2011-03-08,ger,0,0,welt,1,legnews
2011-03-09,ger,0,0,welt,4,legnews
2011-03-10,ger,1,0,welt,2,legnews
2011-03-11,ger,0,0,welt,6,legnews
2011-03-11,ger,1,0,welt,1,legnews
2011-03-14,ger,0,0,welt,2,legnews
2011-03-15,ger,0,0,welt,1,legnews
2011-03-15,ger,1,0,welt,2,legnews
2011-03-16,ger,0,0,welt,2,legnews
2011-03-16,ger,1,0,welt,2,legnews
2011-03-17,ger,0,0,welt,3,legnews
2011-03-17,ger,1,0,welt,1,legnews
2011-03-18,ger,0,0,welt,3,legnews
2011-03-18,ger,1,0,welt,1,legnews
2011-03-19,ger,0,0,welt,3,legnews
2011-03-21,ger,0,0,welt,3,legnews
2011-03-22,ger,0,0,welt,2,legnews
2011-03-23,ger,0,0,welt,4,legnews
2011-03-23,ger,1,0,welt,2,legnews
2011-03-24,ger,0,0,welt,2,legnews
2011-03-25,ger,1,0,welt,3,legnews
2011-03-26,ger,0,0,welt,4,legnews
2011-03-26,ger,1,0,welt,2,legnews
2011-03-28,ger,0,0,welt,2,legnews
2011-03-29,ger,0,0,welt,1,legnews
2011-03-29,ger,1,0,welt,1,legnews
2011-03-30,ger,0,0,welt,1,legnews
2011-03-30,ger,1,0,welt,1,legnews
2011-03-31,ger,0,0,welt,1,legnews
2011-03-31,ger,0,1,welt,1,legnews
2011-03-31,ger,1,0,welt,1,legnews
2011-04-01,ger,0,0,welt,2,legnews
2011-04-04,ger,0,0,welt,1,legnews
2011-04-05,ger,0,0,welt,2,legnews
2011-04-05,ger,1,0,welt,1,legnews
2011-04-07,ger,0,0,welt,2,legnews
2011-04-08,ger,0,0,welt,1,legnews
2011-04-11,ger,1,0,welt,1,legnews
2011-04-14,ger,0,0,welt,1,legnews
2011-04-16,ger,0,0,welt,1,legnews
2011-04-16,ger,1,0,welt,2,legnews
2011-04-20,ger,0,0,welt,1,legnews
2011-04-21,ger,0,0,welt,1,legnews
2011-04-21,ger,1,0,welt,1,legnews
2011-04-26,ger,0,0,welt,1,legnews
2011-04-27,ger,0,0,welt,1,legnews
2011-05-02,ger,1,0,welt,1,legnews
2011-05-03,ger,0,0,welt,5,legnews
2011-05-04,ger,0,0,welt,1,legnews
2011-05-05,ger,0,0,welt,1,legnews
2011-05-09,ger,1,0,welt,1,legnews
2011-05-10,ger,1,0,welt,1,legnews
2011-05-17,ger,1,0,welt,1,legnews
2011-05-19,ger,0,0,welt,1,legnews
2011-05-25,ger,0,0,welt,1,legnews
2011-05-31,ger,0,0,welt,1,legnews
2011-06-01,ger,0,0,welt,2,legnews
2011-06-04,ger,0,0,welt,1,legnews
2011-06-07,ger,1,0,welt,1,legnews
2011-06-11,ger,0,0,welt,1,legnews
2011-06-11,ger,1,0,welt,1,legnews
2011-06-15,ger,0,0,welt,2,legnews
2011-06-15,ger,1,0,welt,1,legnews
2011-06-16,ger,0,0,welt,1,legnews
2011-06-21,ger,0,0,welt,1,legnews
2011-06-27,ger,0,0,welt,1,legnews
2011-06-30,ger,0,0,welt,1,legnews
2011-07-01,ger,1,0,welt,1,legnews
2011-07-06,ger,0,0,welt,1,legnews
2011-07-07,ger,0,0,welt,1,legnews
2011-07-08,ger,0,0,welt,1,legnews
2011-07-08,ger,1,0,welt,1,legnews
2011-07-18,ger,0,0,welt,3,legnews
2011-07-19,ger,0,0,welt,1,legnews
2011-07-23,ger,0,0,welt,1,legnews
2011-07-30,ger,0,0,welt,1,legnews
2011-07-30,ger,1,0,welt,1,legnews
2011-08-01,ger,1,0,welt,1,legnews
2011-08-03,ger,1,0,welt,1,legnews
2011-08-05,ger,1,0,welt,1,legnews
2011-08-06,ger,0,0,welt,1,legnews
2011-08-18,ger,0,0,welt,1,legnews
2011-08-22,ger,0,0,welt,1,legnews
2011-08-23,ger,0,0,welt,1,legnews
2011-08-23,ger,1,0,welt,1,legnews
2011-08-25,ger,0,0,welt,1,legnews
2011-08-26,ger,0,0,welt,1,legnews
2011-08-31,ger,0,0,welt,1,legnews
2011-08-31,ger,1,0,welt,3,legnews
2011-09-02,ger,0,0,welt,1,legnews
2011-09-03,ger,0,0,welt,1,legnews
2011-09-03,ger,1,0,welt,1,legnews
2011-09-05,ger,1,0,welt,1,legnews
2011-09-08,ger,1,0,welt,1,legnews
2011-09-10,ger,0,0,welt,1,legnews
2011-09-10,ger,1,0,welt,1,legnews
2011-09-15,ger,0,0,welt,1,legnews
2011-09-16,ger,0,0,welt,1,legnews
2011-09-17,ger,0,0,welt,1,legnews
2011-09-19,ger,0,0,welt,2,legnews
2011-09-21,ger,1,0,welt,1,legnews
2011-09-23,ger,0,0,welt,1,legnews
2011-10-07,ger,0,0,welt,3,legnews
2011-10-10,ger,0,0,welt,2,legnews
2011-10-11,ger,0,0,welt,3,legnews
2011-10-12,ger,0,0,welt,2,legnews
2011-10-12,ger,1,0,welt,2,legnews
2011-10-13,ger,0,0,welt,4,legnews
2011-10-14,ger,0,0,welt,1,legnews
2011-10-15,ger,0,0,welt,1,legnews
2011-10-15,ger,1,0,welt,3,legnews
2011-10-17,ger,0,0,welt,3,legnews
2011-10-18,ger,0,0,welt,2,legnews
2011-10-18,ger,1,0,welt,1,legnews
2011-10-19,ger,0,0,welt,1,legnews
2011-10-20,ger,0,0,welt,1,legnews
2011-10-20,ger,1,0,welt,1,legnews
2011-10-21,ger,0,0,welt,3,legnews
2011-10-22,ger,0,0,welt,6,legnews
2011-10-22,ger,0,1,welt,1,legnews
2011-10-24,ger,0,0,welt,3,legnews
2011-10-24,ger,1,0,welt,1,legnews
2011-10-25,ger,0,0,welt,3,legnews
2011-10-26,ger,0,0,welt,1,legnews
2011-10-26,ger,1,0,welt,1,legnews
2011-10-27,ger,0,0,welt,3,legnews
2011-10-27,ger,1,0,welt,2,legnews
2011-10-28,ger,0,0,welt,4,legnews
2011-10-28,ger,1,0,welt,1,legnews
2011-10-29,ger,0,0,welt,3,legnews
2011-10-29,ger,1,0,welt,1,legnews
2011-10-31,ger,0,0,welt,2,legnews
2011-10-31,ger,1,0,welt,1,legnews
2011-11-01,ger,0,0,welt,1,legnews
2011-11-01,ger,1,0,welt,3,legnews
2011-11-02,ger,0,0,welt,2,legnews
2011-11-02,ger,1,0,welt,1,legnews
2011-11-03,ger,0,0,welt,2,legnews
2011-11-05,ger,0,0,welt,3,legnews
2011-11-05,ger,1,0,welt,1,legnews
2011-11-08,ger,0,0,welt,5,legnews
2011-11-08,ger,1,0,welt,3,legnews
2011-11-09,ger,0,0,welt,4,legnews
2011-11-09,ger,1,0,welt,1,legnews
2011-11-10,ger,0,0,welt,1,legnews
2011-11-12,ger,0,0,welt,6,legnews
2011-11-12,ger,1,0,welt,1,legnews
2011-11-14,ger,0,0,welt,3,legnews
2011-11-15,ger,0,0,welt,1,legnews
2011-11-16,ger,1,0,welt,1,legnews
2011-11-17,ger,0,0,welt,6,legnews
2011-11-18,ger,0,0,welt,2,legnews
2011-11-18,ger,1,0,welt,1,legnews
2011-11-19,ger,0,0,welt,5,legnews
2011-11-19,ger,1,0,welt,2,legnews
2011-11-21,ger,0,0,welt,3,legnews
2011-11-21,ger,0,1,welt,1,legnews
2011-11-22,ger,0,0,welt,1,legnews
2011-11-22,ger,1,0,welt,1,legnews
2011-11-23,ger,1,0,welt,2,legnews
2011-11-24,ger,1,0,welt,1,legnews
2011-11-25,ger,0,0,welt,2,legnews
2011-11-26,ger,0,0,welt,4,legnews
2011-11-26,ger,1,0,welt,1,legnews
2011-11-28,ger,0,0,welt,2,legnews
2011-11-28,ger,1,0,welt,1,legnews
2011-11-29,ger,0,0,welt,1,legnews
2011-11-30,ger,0,0,welt,2,legnews
2011-11-30,ger,1,0,welt,2,legnews
2011-12-01,ger,0,0,welt,1,legnews
2011-12-02,ger,0,0,welt,1,legnews
2011-12-02,ger,0,1,welt,1,legnews
2011-12-03,ger,0,0,welt,3,legnews
2011-12-03,ger,1,0,welt,3,legnews
2011-12-05,ger,0,0,welt,2,legnews
2011-12-05,ger,1,0,welt,1,legnews
2011-12-06,ger,0,0,welt,2,legnews
2011-12-07,ger,0,0,welt,2,legnews
2011-12-08,ger,0,0,welt,2,legnews
2011-12-09,ger,0,0,welt,3,legnews
2011-12-09,ger,1,0,welt,1,legnews
2011-12-10,ger,0,0,welt,6,legnews
2011-12-12,ger,0,0,welt,4,legnews
2011-12-13,ger,0,0,welt,9,legnews
2011-12-13,ger,1,0,welt,1,legnews
2011-12-14,ger,0,0,welt,1,legnews
2011-12-14,ger,1,0,welt,1,legnews
2011-12-15,ger,0,0,welt,4,legnews
2011-12-16,ger,0,0,welt,2,legnews
2011-12-17,ger,0,0,welt,6,legnews
2011-12-17,ger,1,0,welt,2,legnews
2011-12-19,ger,0,0,welt,3,legnews
2011-12-19,ger,1,0,welt,1,legnews
2011-12-20,ger,0,0,welt,1,legnews
2011-12-21,ger,0,0,welt,1,legnews
2011-12-22,ger,0,0,welt,5,legnews
2011-12-22,ger,0,1,welt,1,legnews
2011-12-22,ger,1,0,welt,1,legnews
2011-12-23,ger,0,0,welt,2,legnews
2011-12-27,ger,0,0,welt,2,legnews
2011-12-27,ger,1,0,welt,2,legnews
2011-12-28,ger,0,0,welt,5,legnews
2011-12-28,ger,1,0,welt,1,legnews
2011-12-29,ger,0,0,welt,2,legnews
2011-12-30,ger,0,0,welt,6,legnews
2012-01-02,ger,0,0,welt,1,legnews
2012-01-02,ger,1,0,welt,2,legnews
2012-01-03,ger,0,0,welt,3,legnews
2012-01-03,ger,1,0,welt,2,legnews
2012-01-04,ger,0,0,welt,1,legnews
2012-01-04,ger,1,0,welt,1,legnews
2012-01-05,ger,0,0,welt,3,legnews
2012-01-05,ger,1,0,welt,3,legnews
2012-01-06,ger,0,0,welt,3,legnews
2012-01-07,ger,0,0,welt,9,legnews
2012-01-07,ger,1,0,welt,1,legnews
2012-01-09,ger,0,0,welt,6,legnews
2012-01-10,ger,0,0,welt,2,legnews
2012-01-10,ger,1,0,welt,1,legnews
2012-01-11,ger,0,0,welt,2,legnews
2012-01-11,ger,1,0,welt,2,legnews
2012-01-12,ger,1,0,welt,2,legnews
2012-01-13,ger,0,0,welt,4,legnews
2012-01-13,ger,1,0,welt,1,legnews
2012-01-14,ger,0,0,welt,7,legnews
2012-01-14,ger,1,0,welt,3,legnews
2012-01-16,ger,0,0,welt,2,legnews
2012-01-17,ger,0,0,welt,3,legnews
2012-01-17,ger,1,0,welt,2,legnews
2012-01-18,ger,0,0,welt,3,legnews
2012-01-19,ger,0,0,welt,6,legnews
2012-01-19,ger,1,0,welt,2,legnews
2012-01-20,ger,0,0,welt,4,legnews
2012-01-21,ger,0,0,welt,7,legnews
2012-01-21,ger,1,0,welt,1,legnews
2012-01-23,ger,0,0,welt,2,legnews
2012-01-23,ger,1,0,welt,1,legnews
2012-01-24,ger,0,0,welt,2,legnews
2012-01-25,ger,0,0,welt,1,legnews
2012-01-25,ger,1,0,welt,1,legnews
2012-01-26,ger,0,0,welt,5,legnews
2012-01-27,ger,0,0,welt,1,legnews
2012-01-27,ger,1,0,welt,1,legnews
2012-01-28,ger,0,0,welt,8,legnews
2012-01-28,ger,1,0,welt,1,legnews
2012-01-30,ger,0,0,welt,2,legnews
2012-01-31,ger,0,0,welt,3,legnews
2012-01-31,ger,1,0,welt,1,legnews
2012-02-01,ger,1,0,welt,1,legnews
2012-02-02,ger,0,0,welt,5,legnews
2012-02-02,ger,1,0,welt,1,legnews
2012-02-03,ger,0,0,welt,3,legnews
2012-02-03,ger,1,0,welt,1,legnews
2012-02-04,ger,0,0,welt,9,legnews
2012-02-04,ger,1,0,welt,1,legnews
2012-02-06,ger,0,0,welt,4,legnews
2012-02-06,ger,1,0,welt,1,legnews
2012-02-07,ger,0,0,welt,4,legnews
2012-02-08,ger,0,0,welt,1,legnews
2012-02-08,ger,1,0,welt,1,legnews
2012-02-09,ger,0,0,welt,2,legnews
2012-02-09,ger,1,0,welt,2,legnews
2012-02-10,ger,0,0,welt,4,legnews
2012-02-11,ger,0,0,welt,5,legnews
2012-02-11,ger,1,1,welt,1,legnews
2012-02-13,ger,1,0,welt,3,legnews
2012-02-14,ger,0,0,welt,3,legnews
2012-02-15,ger,0,0,welt,3,legnews
2012-02-15,ger,1,0,welt,2,legnews
2012-02-16,ger,0,0,welt,1,legnews
2012-02-16,ger,1,0,welt,1,legnews
2012-02-17,ger,1,0,welt,1,legnews
2012-02-18,ger,0,0,welt,6,legnews
2012-02-18,ger,1,0,welt,1,legnews
2012-02-20,ger,0,0,welt,7,legnews
2012-02-21,ger,0,0,welt,2,legnews
2012-02-22,ger,0,0,welt,2,legnews
2012-02-22,ger,1,0,welt,1,legnews
2012-02-23,ger,0,0,welt,3,legnews
2012-02-23,ger,1,0,welt,1,legnews
2012-02-24,ger,0,0,welt,3,legnews
2012-02-25,ger,0,0,welt,8,legnews
2012-02-25,ger,1,0,welt,1,legnews
2012-02-27,ger,0,0,welt,4,legnews
2012-02-27,ger,1,0,welt,4,legnews
2012-02-28,ger,1,0,welt,3,legnews
2012-02-29,ger,0,0,welt,5,legnews
2012-02-29,ger,1,0,welt,2,legnews
2012-03-01,ger,0,0,welt,3,legnews
2012-03-02,ger,0,0,welt,7,legnews
2012-03-02,ger,1,0,welt,1,legnews
2012-03-03,ger,0,0,welt,4,legnews
2012-03-03,ger,1,0,welt,2,legnews
2012-03-05,ger,0,0,welt,1,legnews
2012-03-05,ger,1,0,welt,1,legnews
2012-03-06,ger,0,0,welt,7,legnews
2012-03-07,ger,0,0,welt,5,legnews
2012-03-07,ger,1,0,welt,3,legnews
2012-03-08,ger,0,0,welt,2,legnews
2012-03-09,ger,0,0,welt,3,legnews
2012-03-10,ger,0,0,welt,6,legnews
2012-03-10,ger,1,0,welt,1,legnews
2012-03-12,ger,0,0,welt,4,legnews
2012-03-12,ger,1,0,welt,2,legnews
2012-03-13,ger,0,0,welt,2,legnews
2012-03-13,ger,1,0,welt,1,legnews
2012-03-14,ger,0,0,welt,2,legnews
2012-03-14,ger,1,0,welt,2,legnews
2012-03-15,ger,1,0,welt,1,legnews
2012-03-16,ger,0,0,welt,2,legnews
2012-03-16,ger,1,0,welt,1,legnews
2012-03-17,ger,0,0,welt,4,legnews
2012-03-17,ger,1,0,welt,2,legnews
2012-03-20,ger,0,0,welt,3,legnews
2012-03-21,ger,0,0,welt,1,legnews
2012-03-21,ger,1,0,welt,1,legnews
2012-03-22,ger,0,0,welt,3,legnews
2012-03-22,ger,1,0,welt,1,legnews
2012-03-23,ger,0,0,welt,1,legnews
2012-03-23,ger,1,0,welt,1,legnews
2012-03-24,ger,0,0,welt,7,legnews
2012-03-24,ger,1,0,welt,1,legnews
2012-03-26,ger,0,0,welt,2,legnews
2012-03-26,ger,1,0,welt,1,legnews
2012-03-27,ger,0,0,welt,1,legnews
2012-03-27,ger,1,0,welt,1,legnews
2012-03-29,ger,0,0,welt,2,legnews
2012-03-29,ger,0,1,welt,1,legnews
2012-03-29,ger,1,0,welt,2,legnews
2012-03-30,ger,0,0,welt,3,legnews
2012-03-31,ger,0,0,welt,3,legnews
2012-03-31,ger,1,0,welt,2,legnews
2012-04-02,ger,0,0,welt,2,legnews
2012-04-02,ger,1,0,welt,1,legnews
2012-04-03,ger,0,0,welt,1,legnews
2012-04-03,ger,1,0,welt,2,legnews
2012-04-03,ger,1,1,welt,1,legnews
2012-04-04,ger,0,0,welt,1,legnews
2012-04-04,ger,1,0,welt,1,legnews
2012-04-05,ger,0,0,welt,3,legnews
2012-04-05,ger,1,0,welt,1,legnews
2012-04-07,ger,0,0,welt,8,legnews
2012-04-07,ger,1,0,welt,3,legnews
2012-04-10,ger,0,0,welt,4,legnews
2012-04-10,ger,1,0,welt,1,legnews
2012-04-11,ger,0,0,welt,3,legnews
2012-04-11,ger,1,0,welt,1,legnews
2012-04-12,ger,0,0,welt,5,legnews
2012-04-12,ger,0,1,welt,1,legnews
2012-04-13,ger,0,0,welt,1,legnews
2012-04-13,ger,1,0,welt,2,legnews
2012-04-14,ger,0,0,welt,5,legnews
2012-04-14,ger,1,0,welt,1,legnews
2012-04-16,ger,0,0,welt,2,legnews
2012-04-16,ger,1,0,welt,1,legnews
2012-04-17,ger,0,0,welt,4,legnews
2012-04-17,ger,1,0,welt,1,legnews
2012-04-18,ger,0,0,welt,5,legnews
2012-04-18,ger,1,0,welt,3,legnews
2012-04-19,ger,0,0,welt,4,legnews
2012-04-20,ger,0,0,welt,3,legnews
2012-04-20,ger,1,0,welt,1,legnews
2012-04-21,ger,0,0,welt,3,legnews
2012-04-21,ger,1,0,welt,3,legnews
2012-04-23,ger,0,0,welt,2,legnews
2012-04-23,ger,1,0,welt,2,legnews
2012-04-24,ger,0,0,welt,6,legnews
2012-04-24,ger,1,0,welt,1,legnews
2012-04-25,ger,0,0,welt,3,legnews
2012-04-26,ger,0,0,welt,4,legnews
2012-04-26,ger,1,0,welt,1,legnews
2012-04-28,ger,0,0,welt,6,legnews
2012-04-30,ger,0,0,welt,2,legnews
2012-05-02,ger,0,0,welt,1,legnews
2012-05-03,ger,0,0,welt,2,legnews
2012-05-05,ger,0,0,welt,4,legnews
2012-05-05,ger,1,0,welt,2,legnews
2012-05-07,ger,0,0,welt,5,legnews
2012-05-08,ger,0,0,welt,1,legnews
2012-05-09,ger,0,0,welt,1,legnews
2012-05-09,ger,1,0,welt,2,legnews
2012-05-10,ger,1,0,welt,1,legnews
2012-05-11,ger,0,0,welt,2,legnews
2012-05-12,ger,0,0,welt,4,legnews
2012-05-12,ger,1,1,welt,1,legnews
2012-05-14,ger,0,0,welt,3,legnews
2012-05-15,ger,0,0,welt,2,legnews
2012-05-16,ger,0,0,welt,4,legnews
2012-05-16,ger,1,0,welt,1,legnews
2012-05-18,ger,0,0,welt,4,legnews
2012-05-18,ger,1,0,welt,1,legnews
2012-05-19,ger,0,0,welt,6,legnews
2012-05-21,ger,0,0,welt,3,legnews
2012-05-22,ger,0,0,welt,2,legnews
2012-05-23,ger,0,0,welt,4,legnews
2012-05-23,ger,1,0,welt,1,legnews
2012-05-24,ger,0,0,welt,2,legnews
2012-05-25,ger,0,0,welt,1,legnews
2012-05-26,ger,0,0,welt,5,legnews
2012-05-26,ger,1,0,welt,3,legnews
2012-05-29,ger,0,0,welt,2,legnews
2012-05-30,ger,0,0,welt,1,legnews
2012-05-31,ger,0,0,welt,4,legnews
2012-06-01,ger,0,0,welt,3,legnews
2012-06-02,ger,0,0,welt,6,legnews
2012-06-02,ger,1,0,welt,1,legnews
2012-06-04,ger,0,0,welt,4,legnews
2012-06-05,ger,0,0,welt,1,legnews
2012-06-05,ger,1,0,welt,3,legnews
2012-06-06,ger,0,0,welt,6,legnews
2012-06-06,ger,1,0,welt,2,legnews
2012-06-07,ger,0,0,welt,1,legnews
2012-06-08,ger,0,0,welt,3,legnews
2012-06-09,ger,0,0,welt,5,legnews
2012-06-09,ger,1,0,welt,1,legnews
2012-06-09,ger,1,1,welt,1,legnews
2012-06-11,ger,0,0,welt,5,legnews
2012-06-12,ger,0,0,welt,1,legnews
2012-06-12,ger,1,0,welt,1,legnews
2012-06-13,ger,0,0,welt,3,legnews
2012-06-13,ger,1,0,welt,1,legnews
2012-06-14,ger,0,0,welt,2,legnews
2012-06-15,ger,0,0,welt,1,legnews
2012-06-15,ger,1,0,welt,1,legnews
2012-06-16,ger,0,0,welt,5,legnews
2012-06-16,ger,1,0,welt,1,legnews
2012-06-18,ger,0,0,welt,1,legnews
2012-06-20,ger,0,0,welt,1,legnews
2012-06-20,ger,1,0,welt,1,legnews
2012-06-21,ger,0,0,welt,2,legnews
2012-06-21,ger,1,0,welt,1,legnews
2012-06-23,ger,0,0,welt,7,legnews
2012-06-23,ger,1,0,welt,3,legnews
2012-06-25,ger,0,0,welt,1,legnews
2012-06-25,ger,1,0,welt,1,legnews
2012-06-27,ger,0,0,welt,2,legnews
2012-06-28,ger,0,0,welt,4,legnews
2012-06-28,ger,1,0,welt,1,legnews
2012-06-29,ger,0,0,welt,2,legnews
2012-06-30,ger,0,0,welt,3,legnews
2012-06-30,ger,1,0,welt,1,legnews
2012-07-02,ger,0,0,welt,1,legnews
2012-07-02,ger,1,0,welt,1,legnews
2012-07-03,ger,0,0,welt,3,legnews
2012-07-03,ger,1,0,welt,1,legnews
2012-07-04,ger,0,0,welt,1,legnews
2012-07-05,ger,0,0,welt,1,legnews
2012-07-06,ger,0,0,welt,2,legnews
2012-07-06,ger,1,0,welt,2,legnews
2012-07-07,ger,0,0,welt,4,legnews
2012-07-07,ger,1,0,welt,2,legnews
2012-07-09,ger,0,0,welt,2,legnews
2012-07-09,ger,1,0,welt,1,legnews
2012-07-10,ger,0,0,welt,4,legnews
2012-07-11,ger,0,0,welt,4,legnews
2012-07-11,ger,1,0,welt,1,legnews
2012-07-12,ger,0,0,welt,1,legnews
2012-07-13,ger,0,0,welt,4,legnews
2012-07-14,ger,0,0,welt,3,legnews
2012-07-14,ger,1,0,welt,1,legnews
2012-07-16,ger,0,0,welt,1,legnews
2012-07-16,ger,1,0,welt,3,legnews
2012-07-17,ger,0,0,welt,2,legnews
2012-07-17,ger,1,0,welt,2,legnews
2012-07-18,ger,1,0,welt,1,legnews
2012-07-19,ger,0,0,welt,4,legnews
2012-07-20,ger,0,0,welt,3,legnews
2012-07-20,ger,1,0,welt,2,legnews
2012-07-21,ger,0,0,welt,7,legnews
2012-07-21,ger,1,0,welt,2,legnews
2012-07-23,ger,0,0,welt,1,legnews
2012-07-24,ger,0,0,welt,1,legnews
2012-07-25,ger,0,0,welt,2,legnews
2012-07-25,ger,1,0,welt,1,legnews
2012-07-26,ger,0,0,welt,5,legnews
2012-07-26,ger,1,0,welt,1,legnews
2012-07-27,ger,0,0,welt,2,legnews
2012-07-27,ger,1,0,welt,2,legnews
2012-07-28,ger,0,0,welt,3,legnews
2012-07-28,ger,1,0,welt,2,legnews
2012-07-31,ger,0,0,welt,1,legnews
2012-07-31,ger,1,0,welt,1,legnews
2012-08-01,ger,0,0,welt,1,legnews
2012-08-02,ger,0,0,welt,2,legnews
2012-08-02,ger,1,0,welt,1,legnews
2012-08-03,ger,0,0,welt,3,legnews
2012-08-03,ger,1,0,welt,1,legnews
2012-08-04,ger,0,0,welt,5,legnews
2012-08-04,ger,1,0,welt,1,legnews
2012-08-06,ger,0,0,welt,1,legnews
2012-08-07,ger,0,0,welt,1,legnews
2012-08-08,ger,0,0,welt,3,legnews
2012-08-08,ger,1,0,welt,2,legnews
2012-08-09,ger,1,0,welt,1,legnews
2012-08-10,ger,0,0,welt,2,legnews
2012-08-11,ger,0,0,welt,3,legnews
2012-08-11,ger,1,0,welt,3,legnews
2012-08-13,ger,0,0,welt,1,legnews
2012-08-14,ger,0,0,welt,2,legnews
2012-08-14,ger,1,0,welt,3,legnews
2012-08-15,ger,1,0,welt,2,legnews
2012-08-16,ger,1,0,welt,2,legnews
2012-08-17,ger,0,0,welt,1,legnews
2012-08-17,ger,1,0,welt,2,legnews
2012-08-18,ger,0,0,welt,5,legnews
2012-08-18,ger,1,0,welt,2,legnews
2012-08-20,ger,0,0,welt,3,legnews
2012-08-21,ger,0,0,welt,3,legnews
2012-08-21,ger,1,0,welt,1,legnews
2012-08-22,ger,0,0,welt,5,legnews
2012-08-22,ger,1,0,welt,2,legnews
2012-08-23,ger,0,0,welt,1,legnews
2012-08-24,ger,0,0,welt,3,legnews
2012-08-24,ger,1,0,welt,3,legnews
2012-08-25,ger,0,0,welt,3,legnews
2012-08-25,ger,0,1,welt,1,legnews
2012-08-25,ger,1,0,welt,3,legnews
2012-08-27,ger,0,0,welt,2,legnews
2012-08-28,ger,0,0,welt,4,legnews
2012-08-28,ger,1,0,welt,2,legnews
